club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
1245,kas-eupen,Kas Eupen,BE1,16.0,26,25.7,18,69.2,5,Kehrweg-Stadion,8331,+-0,Stefan Krämer,https://www.transfermarkt.co.uk/kas-eupen/startseite/verein/1245
89,1-fc-union-berlin,1 Fc Union Berlin,L1,70.47,31,27.2,13,41.9,8,An der Alten Försterei,22012,£-4.55m,Urs Fischer,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89
610,ajax-amsterdam,Ajax Amsterdam,NL1,305.37,26,25.7,15,57.7,16,Johan Cruijff ArenA,54990,+£13.95m,Erik ten Hag,https://www.transfermarkt.co.uk/ajax-amsterdam/startseite/verein/610
1435,go-ahead-eagles-deventer,Go Ahead Eagles Deventer,NL1,8.17,28,24.6,12,42.9,3,De Adelaarshorst,9909,+£1.71m,Kees van Wonderen,https://www.transfermarkt.co.uk/go-ahead-eagles-deventer/startseite/verein/1435
1132,fc-burnley,Fc Burnley,GB1,130.77,24,30.2,10,41.7,8,Turf Moor,21994,£-20.34m,Sean Dyche,https://www.transfermarkt.co.uk/fc-burnley/startseite/verein/1132
1010,fc-watford,Fc Watford,GB1,130.95,27,28.3,21,77.8,13,Vicarage Road,21577,£-12.56m,Claudio Ranieri,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
1123,norwich-city,Norwich City,GB1,167.81,28,25.6,20,71.4,14,Carrow Road,27244,£-24.98m,Dean Smith,https://www.transfermarkt.co.uk/norwich-city/startseite/verein/1123
49364,ingulets-petrove,Ingulets Petrove,UKR1,4.95,25,27.7,4,16.0,0,Stadion Zirka im. Stanislava Berezkina,13305,+-0,Sergiy Lavrynenko,https://www.transfermarkt.co.uk/ingulets-petrove/startseite/verein/49364
65,spvgg-greuther-furth,Spvgg Greuther Furth,L1,33.32,31,24.7,11,35.5,2,Sportpark Ronhof | Thomas Sommer,16626,+£1.98m,Stefan Leitl,https://www.transfermarkt.co.uk/spvgg-greuther-furth/startseite/verein/65
61825,fk-minaj,Fk Minaj,UKR1,4.91,25,25.0,3,12.0,2,Avangard,12000,+-0,Mykhaylo Starostyak,https://www.transfermarkt.co.uk/fk-minaj/startseite/verein/61825
2375,altay-sk,Altay Sk,TR1,14.54,30,28.9,14,46.7,4,Alsancak Mustafa Denizli Stadı,15000,£-2.35m,Mustafa Denizli,https://www.transfermarkt.co.uk/altay-sk/startseite/verein/2375
749,fc-empoli,Fc Empoli,IT1,69.89,28,25.4,10,35.7,5,Carlo Castellani,19847,+£14.49m,Aurelio Andreazzoli,https://www.transfermarkt.co.uk/fc-empoli/startseite/verein/749
80,vfl-bochum,Vfl Bochum,L1,34.29,30,27.7,14,46.7,3,Vonovia Ruhrstadion,27599,+£315Th.,Thomas Reis,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80
276,hellas-verona,Hellas Verona,IT1,98.42,26,26.9,14,53.8,5,Marcantonio Bentegodi,39211,+£3.78m,Igor Tudor,https://www.transfermarkt.co.uk/hellas-verona/startseite/verein/276
380,us-salernitana-1919,Us Salernitana 1919,IT1,32.54,30,27.3,16,53.3,6,Arechi,31300,£-2.97m,Stefano Colantuono,https://www.transfermarkt.co.uk/us-salernitana-1919/startseite/verein/380
252,genua-cfc,Genua Cfc,IT1,86.94,34,27.7,16,47.1,8,Luigi Ferraris,36599,+£180Th.,Andriy Shevchenko,https://www.transfermarkt.co.uk/genua-cfc/startseite/verein/252
607,venezia-fc,Venezia Fc,IT1,61.65,34,26.6,20,58.8,10,Pier Luigi Penzo,11150,£-15.20m,Paolo Zanetti,https://www.transfermarkt.co.uk/venezia-fc/startseite/verein/607
1025,fc-bologna,Fc Bologna,IT1,130.95,30,26.0,19,63.3,10,Stadio Renato Dall’Ara,36462,£-7.03m,Sinisa Mihajlovic,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
398,lazio-rom,Lazio Rom,IT1,280.17,33,27.7,26,78.8,12,Olimpico di Roma,73261,£-4.82m,Maurizio Sarri,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398
800,atalanta-bergamo,Atalanta Bergamo,IT1,373.82,26,27.3,16,61.5,17,Gewiss Stadium,22512,£-24.39m,Gian Piero Gasperini,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800
410,udinese-calcio,Udinese Calcio,IT1,92.7,26,28.0,21,80.8,3,Dacia Arena,25144,+£49.05m,Gabriele Cioffi,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
